date,P_mix,T_max,T_min,Q
1987-03-09,0.6,0.7,-6.9,0.919770952628839
1987-03-10,0.0,-0.8,-8.8,0.8747943779281625
1987-03-11,0.0,-0.3,-8.3,0.8568037480478917
1987-03-12,0.0,0.4,-8.7,0.8298178032274857
1987-03-13,5.8,0.0,-9.3,0.8410619469026549
1987-03-14,0.2,-2.7,-6.5,0.8545549193128579
1987-03-15,2.6,-1.5,-12.7,0.811827173347215
1987-03-16,6.4,-6.5,-9.0,0.8073295158771472
1987-03-17,0.1,-1.8,-11.2,0.7758459135866737
1987-03-18,5.2,1.7,-7.2,0.7735970848516398
1987-03-19,3.2,0.0,-6.5,0.7825923997917752
1987-03-20,7.4,-7.5,-10.5,0.7556064549713691
1987-03-21,0.4,-0.9,-14.0,0.7151275377407601
1987-03-22,1.6,-2.3,-9.7,0.7106298802706925
1987-03-23,0.0,3.9,-8.6,0.7083810515356586
1987-03-24,0.0,6.3,-2.0,0.7466111400312337
1987-03-25,1.9,7.1,-1.1,0.8298178032274857
1987-03-26,5.2,3.4,0.8,1.0367100468505988
1987-03-27,3.7,8.1,-2.5,1.1041749089016137
1987-03-28,9.4,2.5,-2.3,1.4977199375325352
1987-03-29,8.7,-1.0,-5.7,1.3447995835502342
1987-03-30,2.1,-3.8,-8.1,1.1154190525767829
1987-03-31,0.2,-3.2,-12.5,0.9939823008849558
1987-04-01,0.4,-2.4,-12.0,0.9377615825091099
1987-04-02,0.0,2.2,-8.3,0.9332639250390423
1987-04-03,0.1,7.1,-3.5,0.9849869859448204
1987-04-04,34.8,4.0,-1.2,2.1296408120770436
1987-04-05,2.8,4.6,-6.7,2.179115044247788
1987-04-06,0.0,7.1,-6.4,1.9744716293597082
1987-04-07,0.9,9.0,-1.5,2.1026548672566374
1987-04-08,9.5,5.0,2.1,2.878500780843311
1987-04-09,30.2,5.8,1.1,4.340239458615305
1987-04-10,17.4,0.5,-1.5,4.767516918271734
1987-04-11,1.8,2.9,-6.5,3.373243102550755
1987-04-12,12.2,-1.0,-3.2,2.8335242061426342
1987-04-13,1.1,-0.4,-6.0,2.2713170223841748
1987-04-14,0.0,1.8,-7.5,1.9969599167100474
1987-04-15,0.0,6.5,-6.0,1.965476314419573
1987-04-16,0.0,8.8,-3.0,2.210598646538261
1987-04-17,0.0,10.0,0.5,2.811035918792296
1987-04-18,0.0,10.2,1.9,3.755543987506507
1987-04-19,2.3,11.4,3.0,4.834981780322749
1987-04-20,15.6,5.6,2.9,5.8469547110879745
1987-04-21,0.1,3.1,-1.5,6.004372722540344
1987-04-22,0.0,8.5,-4.8,4.3627277459656435
1987-04-23,0.0,11.0,-0.4,4.317751171264967
1987-04-24,0.0,11.1,2.0,4.902446642373764
1987-04-25,2.5,11.3,3.0,5.397188964081208
1987-04-26,0.0,10.0,3.0,6.184279021343051
1987-04-27,0.0,10.2,2.5,6.094325871941697
1987-04-28,0.0,14.2,2.0,6.184279021343051
1987-04-29,0.0,12.2,3.9,7.106298802706924
1987-04-30,0.0,13.0,4.3,7.668505986465383
1987-05-01,0.0,14.5,3.0,8.185736595523165
1987-05-02,5.3,15.4,4.3,8.725455491931287
1987-05-03,24.8,5.8,-3.1,8.972826652785008
1987-05-04,7.0,-0.2,-5.8,6.184279021343051
1987-05-05,7.3,1.1,-4.2,4.745028630921396
